City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
216,Goderich,CA,79.03,43.7501,-81.7165,Harmony Inn
220,Kushima,JP,76.73,31.4583,131.2333,Hanaoka
228,Superior,US,89.94,46.7208,-92.1041,"Holiday Inn Express & Suites Superior - Duluth Area, an IHG Hotel"
231,Ewo,CG,81.32,-0.8725,14.8206,Residence Elonda Ewo
233,San Policarpo,PH,80.56,12.1791,125.5072,Manong Aklan Resort
238,Meulaboh,ID,75.36,4.1363,96.1285,Kost Pria
239,Zihuatanejo,MX,86.58,17.6333,-101.55,La Casa Que Canta
240,Cartagena,CO,85.62,10.3997,-75.5144,Hotel Colombia Real - Cartagena
242,Ha Tinh,VN,79.97,18.3333,105.9,Phú Quý
244,Naco,MX,80.76,31.3347,-109.9483,Naco Estates Mobile Home & RV
245,Thompson,CA,79.29,55.7435,-97.8558,Burntwood Hotel
249,Kerrville,US,86.9,30.0474,-99.1403,Inn Of The Hills Hotel & Conference Center
252,Harper,LR,76.26,4.375,-7.7169,Screensaver
254,Moratuwa,LK,80.62,6.773,79.8816,Sa Mansion By Yoho
256,Narasannapeta,IN,79.52,18.4167,84.05,G.lingaraju home
258,Vetapalem,IN,78.51,15.7833,80.3167,Lelavathi hotel
262,Asfi,MA,75.9,32.2994,-9.2372,Hôtel Abda
264,Tipuani,BO,85.12,-15.5648,-68.0185,
267,Savinka,RU,79.77,50.0785,47.0994,
269,Erzin,TR,82.0,36.9559,36.2,Artemis Otel
270,Miguelopolis,BR,81.7,-20.1794,-48.0319,Las Vegas Motel
273,La Asuncion,VE,83.93,11.0333,-63.8628,Colinas de Matasiete
277,Dingle,PH,75.58,10.9995,122.6711,SEGAYA PROPERTY
278,Cape Coast,GH,76.32,5.1053,-1.2466,Samrit Hotel
279,Kyaukse,MM,76.21,21.6,96.1333,Shwe Thit Sar Guesthouse
283,Camalu,MX,83.43,30.85,-116.0667,La Cueva del Pirata
284,Oranjestad,AW,82.6,12.524000000000001,-70.027,Divi Village Golf & Beach Resort
285,Ejido,VE,75.27,8.5514,-71.2375,Bora Bora Nails & Spa C.A.
291,Bathsheba,BB,83.08,13.2167,-59.5167,Atlantis Hotel
292,Kaniama,CD,75.76,-7.5667,24.1833,
293,Kathu,TH,75.02,7.9178,98.3332,Novotel Phuket Resort
295,Camocim,BR,79.34,-2.9022,-40.8411,Hotel Ilha do Amor
296,Parrita,CR,83.52,9.5201,-84.3225,Beso del Viento
297,Santa Maria Del Oro,MX,78.89,25.9333,-105.3667,Hotel Palacio Del Sol
298,Honiara,SB,79.23,-9.4333,159.95,Heritage Park Hotel
299,Svay Rieng,KH,77.83,11.0879,105.7993,Apsara guesthouse
303,Nalut,LY,85.03,30.3333,10.85,
304,Rudbar,AF,81.18,30.15,62.6,
