City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
53,Ponta Do Sol,PT,32.6667,-17.1,84.83,57,4,5.68,clear sky
54,Russell,US,32.3502,-85.1999,87.51,67,89,5.79,overcast clouds
55,Marsh Harbour,BS,26.5412,-77.0636,83.73,73,99,18.25,overcast clouds
56,Barrow,US,71.2906,-156.7887,35.62,80,90,18.41,mist
57,Georgetown,MY,5.4112,100.3354,78.89,87,20,4.61,few clouds
58,Sitka,US,57.0531,-135.33,55.29,82,90,0.0,light rain
59,Ushuaia,AR,-54.8,-68.3,49.66,57,20,4.61,few clouds
60,Airai,TL,-8.9266,125.4092,57.34,87,25,3.49,scattered clouds
61,Mount Pleasant,US,32.7941,-79.8626,87.98,78,40,1.01,scattered clouds
62,Qaanaaq,GL,77.484,-69.3632,38.34,98,100,5.28,light rain
63,Cabo San Lucas,MX,22.8909,-109.9124,96.51,65,5,9.93,clear sky
64,Balsas,BR,-7.5325,-46.0356,87.57,17,5,0.81,clear sky
65,Tarbagatay,RU,51.4803,107.3602,62.13,77,100,3.2,light rain
66,Basco,PH,20.4487,121.9702,83.19,79,37,10.42,scattered clouds
67,Nikolskoye,RU,59.7035,30.7861,60.03,78,27,10.22,scattered clouds
68,Bud,US,39.447,-86.1758,78.93,68,100,8.77,overcast clouds
69,Ingham,US,42.6,-84.3833,80.06,54,40,5.75,scattered clouds
70,Karpogory,RU,64.0019,44.4451,57.87,91,78,10.22,broken clouds
71,Ukiah,US,39.1502,-123.2078,113.04,16,1,11.5,clear sky
72,Mar Del Plata,AR,-38.0023,-57.5575,51.33,83,58,9.86,broken clouds
73,Biltine,TD,14.5333,20.9167,76.95,65,98,7.16,overcast clouds
74,Katsuura,JP,35.1333,140.3,68.11,95,100,13.27,overcast clouds
75,Port Elizabeth,ZA,-33.918,25.5701,54.1,81,0,8.84,clear sky
76,Pokhara,NP,28.2333,83.9833,70.9,90,99,2.21,overcast clouds
77,Launceston,AU,-41.45,147.1667,45.81,84,75,1.01,broken clouds
78,Taoudenni,ML,22.6783,-3.9836,104.58,9,87,8.05,overcast clouds
79,Kelo,TD,9.3086,15.8066,74.07,91,86,3.06,moderate rain
80,Codrington,AU,-38.2667,141.9667,52.66,62,54,20.13,broken clouds
81,Victoria,HK,22.2855,114.1577,80.96,86,64,4.54,broken clouds
82,Reconquista,AR,-29.15,-59.65,67.69,41,34,3.76,scattered clouds
83,Faanui,PF,-16.4833,-151.75,79.03,72,10,12.15,clear sky
84,Dagana,MR,16.5165,-15.5068,87.44,60,100,15.64,overcast clouds
85,Fuldatal,DE,51.3833,9.5667,66.96,72,0,3.44,clear sky
86,Atuona,PF,-9.8,-139.0333,77.92,69,40,17.47,scattered clouds
87,Yarmouth,US,41.7057,-70.2286,79.02,55,100,11.01,overcast clouds
88,Naujamiestis,LT,55.6869,24.1523,58.15,92,10,7.94,clear sky
89,Nanortalik,GL,60.1432,-45.2371,48.79,96,100,10.83,light rain
90,Pevek,RU,69.7008,170.3133,32.7,97,100,4.25,overcast clouds
91,Akdepe,TM,42.0551,59.3788,66.2,24,0,9.33,clear sky
92,Toucheng,TW,24.8592,121.8233,82.15,90,3,3.98,clear sky
93,Porto Novo,BJ,6.4965,2.6036,76.14,82,99,7.2,overcast clouds
94,Broome,US,42.2506,-75.833,78.01,57,100,1.01,overcast clouds
95,Belorechensk,RU,44.76,39.87,68.72,72,100,2.01,overcast clouds
96,Hilo,US,19.7297,-155.09,79.61,89,65,1.99,broken clouds
97,Berberati,CF,4.2612,15.7922,70.66,93,92,1.81,overcast clouds
98,Alice Springs,AU,-23.7,133.8833,42.35,49,0,0.0,clear sky
99,Arraial Do Cabo,BR,-22.9661,-42.0278,68.7,78,1,14.34,clear sky
100,Pasni,PK,25.2631,63.471,78.75,83,100,7.76,overcast clouds
101,Longyearbyen,SJ,78.2186,15.6401,39.04,75,75,9.22,broken clouds
102,Cape Town,ZA,-33.9258,18.4232,56.12,58,59,5.53,broken clouds
103,Chokurdakh,RU,70.6333,147.9167,41.23,68,69,9.37,broken clouds
104,Darhan,MN,49.4867,105.9228,64.78,71,99,6.69,overcast clouds
105,Bredasdorp,ZA,-34.5322,20.0403,53.28,87,79,1.14,broken clouds
106,Camacupa,AO,-12.0167,17.4833,69.08,28,61,3.67,broken clouds
107,Deputatskiy,RU,69.3,139.9,41.07,81,100,3.51,overcast clouds
108,Shimoda,JP,34.6667,138.95,71.74,93,100,14.97,overcast clouds
109,Hithadhoo,MV,-0.6,73.0833,82.89,69,100,16.46,overcast clouds
110,Cidreira,BR,-30.1811,-50.2056,58.19,95,45,5.68,scattered clouds
111,Khatanga,RU,71.9667,102.5,55.83,57,100,14.47,overcast clouds
112,Lagoa,PT,39.05,-27.9833,71.24,79,99,8.21,overcast clouds
113,Marsa Matruh,EG,31.3525,27.2453,78.67,66,0,6.98,clear sky
114,Husavik,IS,66.0449,-17.3389,52.34,83,27,4.52,scattered clouds
115,Litovko,RU,49.2361,135.1742,60.22,88,4,2.48,clear sky
116,Kimbe,PG,-5.5502,150.1429,76.14,91,47,3.04,scattered clouds
117,Holme,DK,56.1138,10.1725,56.77,93,100,0.85,overcast clouds
118,Lazaro Cardenas,MX,17.9583,-102.2,86.65,69,33,7.29,scattered clouds
119,Dikson,RU,73.5069,80.5464,45.19,100,100,11.39,light rain
120,Souillac,MU,-20.5167,57.5167,68.38,68,40,12.66,light rain
121,Ipixuna,BR,-1.7625,-48.8043,85.95,82,98,3.96,overcast clouds
122,Tuktoyaktuk,CA,69.4541,-133.0374,51.57,65,100,11.59,overcast clouds
123,Kavieng,PG,-2.5744,150.7967,81.95,76,95,10.42,moderate rain
124,Torbay,CA,47.6666,-52.7314,77.88,82,64,8.37,broken clouds
125,Norman Wells,CA,65.282,-126.8329,55.44,88,90,3.44,overcast clouds
126,Geraldton,AU,-28.7667,114.6,57.61,41,0,17.27,clear sky
127,Gamba,GA,-2.65,10.0,74.12,88,85,7.47,overcast clouds
128,Laguna,US,38.421,-121.4238,102.63,35,1,5.75,haze
129,Hofn,IS,64.2539,-15.2082,52.05,96,100,6.31,overcast clouds
130,Biak,ID,-0.9131,122.8766,74.71,83,20,6.96,few clouds
131,Adrar,MR,20.5022,-10.0711,96.91,11,63,12.41,broken clouds
132,Inhambane,MZ,-23.865,35.3833,64.24,76,1,8.3,clear sky
133,Talnakh,RU,69.4865,88.3972,54.86,96,100,15.08,light rain
134,Hasaki,JP,35.7333,140.8333,68.4,84,100,15.1,overcast clouds
135,Wanning,CN,18.8003,110.3967,80.04,90,49,7.76,scattered clouds
136,Grindavik,IS,63.8424,-22.4338,52.27,100,75,9.22,broken clouds
137,Acapulco,MX,16.8634,-99.8901,85.59,75,49,6.17,scattered clouds
138,Labuhan,ID,-6.8844,112.2051,75.87,86,37,7.05,scattered clouds
139,Ancud,CL,-41.8697,-73.8203,49.23,91,100,25.01,light rain
140,Komsomolskiy,UZ,40.4272,71.7189,69.22,26,0,8.79,clear sky
141,Mongu,ZM,-15.2484,23.1274,63.63,32,0,7.29,clear sky
142,San Cristobal,VE,7.7669,-72.225,75.72,75,38,5.37,scattered clouds
143,Gasa,PS,31.5,34.4667,82.38,62,0,5.61,clear sky
144,Coahuayana,MX,18.7333,-103.6833,91.18,61,36,6.82,scattered clouds
145,Praya,CV,14.9215,-23.5087,79.34,83,40,14.97,scattered clouds
146,Nizhniy Tsasuchey,RU,50.5167,115.1333,61.74,78,68,4.32,broken clouds
147,Saint George,US,37.1041,-113.5841,106.63,23,5,1.01,clear sky
148,Leningradskiy,RU,69.3833,178.4167,34.29,85,96,14.2,overcast clouds
149,Svetlogorsk,BY,52.6333,29.7333,65.34,86,28,4.21,scattered clouds
150,Namtsy,RU,62.7161,129.6658,59.11,87,82,2.8,broken clouds
151,Lobamba,SZ,-26.4667,31.2,53.38,88,33,2.57,scattered clouds
152,Sisimiut,GL,66.9395,-53.6735,47.59,86,52,9.55,broken clouds
153,Saint-Pierre,RE,-21.3393,55.4781,65.88,78,75,13.8,broken clouds
154,Lebu,CL,-37.6167,-73.65,49.98,91,100,24.4,moderate rain
155,Hualmay,PE,-11.0964,-77.6139,65.8,73,44,11.92,scattered clouds
156,Clyde River,CA,70.4692,-68.5914,45.16,78,96,2.17,overcast clouds
157,Leninskoye,KZ,41.7589,69.3864,64.33,36,0,3.4,clear sky
158,Port Lincoln,AU,-34.7333,135.8667,55.06,69,100,9.28,overcast clouds
159,Redditch,GB,52.3065,-1.9457,62.28,94,100,1.01,overcast clouds
160,Provideniya,RU,64.3833,-173.3,46.51,76,90,13.42,moderate rain
161,Turgenevo,RU,54.8455,46.3297,64.99,68,18,0.45,few clouds
162,Jinchang,CN,38.4953,102.1739,70.86,55,10,7.54,clear sky
163,Mazagao,BR,-0.115,-51.2894,82.47,73,20,3.22,few clouds
164,Palmer,US,42.1584,-72.3287,83.03,44,64,2.68,broken clouds
165,Kempele,FI,64.9131,25.5034,57.22,88,0,1.14,clear sky
166,Azle,US,32.8951,-97.5459,92.55,54,4,1.01,clear sky
167,Ocean City,US,39.2776,-74.5746,88.38,67,81,1.01,broken clouds
168,Mandalgovi,MN,45.7625,106.2708,63.25,57,43,8.28,scattered clouds
169,Richards Bay,ZA,-28.783,32.0377,62.33,83,12,5.82,light rain
